행정기관,성별,연령,인구수,연령대
경상남도,남자,60~69세,244019,60+
경상남도,남자,70~79세,111452,60+
경상남도,남자,80~89세,41406,60+
경상남도,남자,90~99세,3426,60+
경상남도,남자,100세 이상,89,60+
제주특별자치도,남자,20~29세,43034,20~30
제주특별자치도,남자,30~39세,40820,20~30
제주특별자치도,남자,40~49세,57121,40~50
제주특별자치도,남자,50~59세,59536,40~50
제주특별자치도,남자,60~69세,41774,60+
제주특별자치도,남자,70~79세,20854,60+
제주특별자치도,남자,80~89세,8544,60+
제주특별자치도,남자,90~99세,650,60+
제주특별자치도,남자,100세 이상,13,60+
서울특별시,여자,20~29세,741597,20~30
서울특별시,여자,30~39세,722279,20~30
서울특별시,여자,40~49세,749778,40~50
서울특별시,여자,50~59세,764829,40~50
서울특별시,여자,60~69세,677012,60+
서울특별시,여자,70~79세,379318,60+
서울특별시,여자,80~89세,176698,60+
서울특별시,여자,90~99세,30948,60+
서울특별시,여자,100세 이상,1648,60+
부산광역시,여자,20~29세,201568,20~30
부산광역시,여자,30~39세,198568,20~30
부산광역시,여자,40~49세,249110,40~50
부산광역시,여자,50~59세,285142,40~50
부산광역시,여자,60~69세,289201,60+
부산광역시,여자,70~79세,162757,60+
부산광역시,여자,80~89세,77840,60+
부산광역시,여자,90~99세,11954,60+
부산광역시,여자,100세 이상,547,60+
대구광역시,여자,20~29세,145984,20~30
대구광역시,여자,30~39세,136257,20~30
대구광역시,여자,40~49세,188973,40~50
대구광역시,여자,50~59세,214233,40~50
대구광역시,여자,60~69세,178665,60+
대구광역시,여자,70~79세,99482,60+
대구광역시,여자,80~89세,52941,60+
대구광역시,여자,90~99세,7806,60+
대구광역시,여자,100세 이상,296,60+
인천광역시,여자,20~29세,187932,20~30
인천광역시,여자,30~39세,193726,20~30
인천광역시,여자,40~49세,234325,40~50
인천광역시,여자,50~59세,255230,40~50
인천광역시,여자,60~69세,199792,60+
인천광역시,여자,70~79세,96986,60+
인천광역시,여자,80~89세,53397,60+
인천광역시,여자,90~99세,10142,60+
인천광역시,여자,100세 이상,393,60+
광주광역시,여자,20~29세,99350,20~30
광주광역시,여자,30~39세,88743,20~30
광주광역시,여자,40~49세,118905,40~50
광주광역시,여자,50~59세,118385,40~50
광주광역시,여자,60~69세,89520,60+
광주광역시,여자,70~79세,52440,60+
광주광역시,여자,80~89세,27065,60+
광주광역시,여자,90~99세,4717,60+
광주광역시,여자,100세 이상,214,60+
대전광역시,여자,20~29세,100220,20~30
대전광역시,여자,30~39세,90491,20~30
대전광역시,여자,40~49세,116163,40~50
대전광역시,여자,50~59세,120113,40~50
대전광역시,여자,60~69세,97568,60+
대전광역시,여자,70~79세,50208,60+
대전광역시,여자,80~89세,27210,60+
대전광역시,여자,90~99세,4700,60+
대전광역시,여자,100세 이상,161,60+
울산광역시,여자,20~29세,60359,20~30
울산광역시,여자,30~39세,68252,20~30
울산광역시,여자,40~49세,89902,40~50
울산광역시,여자,50~59세,101883,40~50
울산광역시,여자,60~69세,76805,60+
울산광역시,여자,70~79세,32646,60+
울산광역시,여자,80~89세,15764,60+
울산광역시,여자,90~99세,2660,60+
울산광역시,여자,100세 이상,77,60+
세종특별자치시,여자,20~29세,18613,20~30
세종특별자치시,여자,30~39세,31414,20~30
세종특별자치시,여자,40~49세,35464,40~50
세종특별자치시,여자,50~59세,22909,40~50
세종특별자치시,여자,60~69세,16705,60+
세종특별자치시,여자,70~79세,7849,60+
세종특별자치시,여자,80~89세,4932,60+
세종특별자치시,여자,90~99세,1021,60+
세종특별자치시,여자,100세 이상,30,60+
경기도,여자,20~29세,853657,20~30
경기도,여자,30~39세,917244,20~30
경기도,여자,40~49세,1126206,40~50
경기도,여자,50~59세,1117741,40~50
경기도,여자,60~69세,831826,60+
경기도,여자,70~79세,420550,60+
경기도,여자,80~89세,234477,60+
경기도,여자,90~99세,41810,60+
경기도,여자,100세 이상,1711,60+
강원도,여자,20~29세,76838,20~30
강원도,여자,30~39세,77073,20~30
강원도,여자,40~49세,106965,40~50
강원도,여자,50~59세,127961,40~50
강원도,여자,60~69세,129388,60+
강원도,여자,70~79세,73139,60+
강원도,여자,80~89세,48722,60+
강원도,여자,90~99세,9008,60+
강원도,여자,100세 이상,351,60+
충청북도,여자,20~29세,86501,20~30
충청북도,여자,30~39세,89319,20~30
충청북도,여자,40~49세,114241,40~50
충청북도,여자,50~59세,131141,40~50
충청북도,여자,60~69세,119435,60+
충청북도,여자,70~79세,65423,60+
충청북도,여자,80~89세,44896,60+
충청북도,여자,90~99세,7431,60+
충청북도,여자,100세 이상,255,60+
충청남도,여자,20~29세,106773,20~30
충청남도,여자,30~39세,120182,20~30
충청남도,여자,40~49세,151936,40~50
충청남도,여자,50~59세,159316,40~50
충청남도,여자,60~69세,148380,60+
충청남도,여자,70~79세,93259,60+
충청남도,여자,80~89세,67075,60+
충청남도,여자,90~99세,11672,60+
충청남도,여자,100세 이상,422,60+
전라북도,여자,20~29세,95368,20~30
전라북도,여자,30~39세,88622,20~30
전라북도,여자,40~49세,126528,40~50
전라북도,여자,50~59세,143468,40~50
전라북도,여자,60~69세,134952,60+
전라북도,여자,70~79세,94809,60+
전라북도,여자,80~89세,62589,60+
전라북도,여자,90~99세,11420,60+
전라북도,여자,100세 이상,417,60+
전라남도,여자,20~29세,85589,20~30
전라남도,여자,30~39세,85077,20~30
전라남도,여자,40~49세,117866,40~50
전라남도,여자,50~59세,143976,40~50
전라남도,여자,60~69세,140228,60+
전라남도,여자,70~79세,106197,60+
전라남도,여자,80~89세,78222,60+
전라남도,여자,90~99세,13688,60+
